"gene"	"adj.pval.TimePoint"	"scaffold"	"start"	"end"	"uniprot.id"	"uniprot_taxa.id"	"Uniprot.Name"	"GO.IDs"	"GO.Descript"
"PGEN_.00g221840"	0.00205722878527563	"Scaffold_10"	46286950	46294318	NA	NA	NA	NA	NA
"PGEN_.00g243110"	0.0020921048283287	"Scaffold_12"	1964008	2014260	"Q6QHF9"	"PAOX_HUMAN"	"Peroxisomal N(1)-acetyl-spermine/spermidine oxidase (EC 1.5.3.13) (Polyamine oxidase)"	"GO:0005782; GO:0005829; GO:0006596; GO:0006598; GO:0006625; GO:0009446; GO:0009447; GO:0016491; GO:0046203; GO:0046208; GO:0046592; GO:0052899; GO:0052901; GO:0052902; GO:0052903; GO:0052904; GO:1901307"	"cytosol [GO:0005829]; peroxisomal matrix [GO:0005782]; N(1),N(12)-diacetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity [GO:0052899]; N1-acetylspermidine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity [GO:0052904]; N1-acetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity [GO:0052903]; oxidoreductase activity [GO:0016491]; polyamine oxidase activity [GO:0046592]; spermidine:oxygen oxidoreductase (3-aminopropanal-forming) activity [GO:0052902]; spermine:oxygen oxidoreductase (spermidine-forming) activity [GO:0052901]; polyamine biosynthetic process [GO:0006596]; polyamine catabolic process [GO:0006598]; positive regulation of spermidine biosynthetic process [GO:1901307]; protein targeting to peroxisome [GO:0006625]; putrescine biosynthetic process [GO:0009446]; putrescine catabolic process [GO:0009447]; spermidine catabolic process [GO:0046203]; spermine catabolic process [GO:0046208]"
"PGEN_.00g141830"	0.00221162233245641	"Scaffold_06"	31808232	31904400	"Q60974"	"NCOR1_MOUSE"	"Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (Retinoid X receptor-interacting protein 13) (RIP13)"	"GO:0000118; GO:0000122; GO:0000790; GO:0001012; GO:0001102; GO:0002155; GO:0002361; GO:0003677; GO:0003682; GO:0003714; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0005829; GO:0006325; GO:0006357; GO:0008284; GO:0010629; GO:0014067; GO:0017053; GO:0019904; GO:0021794; GO:0030331; GO:0031065; GO:0032922; GO:0035033; GO:0035257; GO:0040014; GO:0042632; GO:0042826; GO:0042974; GO:0042975; GO:0043565; GO:0044212; GO:0045475; GO:0045892; GO:0046329; GO:0046965; GO:0046966; GO:0048471; GO:0051225; GO:0060318; GO:0060766; GO:0072368; GO:0072686; GO:1903799; GO:1904017"	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; histone deacetylase complex [GO:0000118]; mitotic spindle [GO:0072686]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; transcription factor complex [GO:0005667]; transcriptional repressor complex [GO:0017053]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; estrogen receptor binding [GO:0030331]; histone deacetylase binding [GO:0042826]; histone deacetylase regulator activity [GO:0035033]; nuclear hormone receptor binding [GO:0035257]; peroxisome proliferator activated receptor binding [GO:0042975]; protein domain specific binding [GO:0019904]; retinoic acid receptor binding [GO:0042974]; retinoid X receptor binding [GO:0046965]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II regulatory region DNA binding [GO:0001012]; sequence-specific DNA binding [GO:0043565]; thyroid hormone receptor binding [GO:0046966]; transcription corepressor activity [GO:0003714]; transcription regulatory region DNA binding [GO:0044212]; CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation [GO:0002361]; cellular response to Thyroglobulin triiodothyronine [GO:1904017]; cholesterol homeostasis [GO:0042632]; chromatin organization [GO:0006325]; circadian regulation of gene expression [GO:0032922]; definitive erythrocyte differentiation [GO:0060318]; locomotor rhythm [GO:0045475]; negative regulation of androgen receptor signaling pathway [GO:0060766]; negative regulation of gene expression [GO:0010629]; negative regulation of JNK cascade [GO:0046329]; negative regulation of phosphatidylinositol 3-kinase signaling [GO:0014067]; negative regulation of production of miRNAs involved in gene silencing by miRNA [GO:1903799]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of histone deacetylation [GO:0031065]; regulation of lipid transport by negative regulation of transcription from RNA polymerase II promoter [GO:0072368]; regulation of multicellular organism growth [GO:0040014]; regulation of thyroid hormone mediated signaling pathway [GO:0002155]; regulation of transcription by RNA polymerase II [GO:0006357]; spindle assembly [GO:0051225]; thalamus development [GO:0021794]"
"PGEN_.00g207530"	0.00221162233245641	"Scaffold_10"	9251922	9298180	"P74148"	"Y1388_SYNY3"	"Universal stress protein Sll1388 (USP Sll1388)"	""	""
"PGEN_.00g092010"	0.00221523765924034	"Scaffold_04"	34431632	34477799	"P51816"	"AFF2_HUMAN"	"AF4/FMR2 family member 2 (Fragile X E mental retardation syndrome protein) (Fragile X mental retardation 2 protein) (FMR2P) (Protein FMR-2) (Protein Ox19)"	"GO:0002151; GO:0005634; GO:0006355; GO:0006397; GO:0007420; GO:0007611; GO:0008380; GO:0010468; GO:0010629; GO:0016607; GO:0035063; GO:0043484"	"nuclear speck [GO:0016607]; nucleus [GO:0005634]; G-quadruplex RNA binding [GO:0002151]; brain development [GO:0007420]; learning or memory [GO:0007611]; mRNA processing [GO:0006397]; negative regulation of gene expression [GO:0010629]; nuclear speck organization [GO:0035063]; regulation of gene expression [GO:0010468]; regulation of RNA splicing [GO:0043484]; regulation of transcription, DNA-templated [GO:0006355]; RNA splicing [GO:0008380]"
"PGEN_.00g338700"	0.00224477617512002	"Scaffold_17"	33440016	33440837	NA	NA	NA	NA	NA
"PGEN_.00g125900"	0.00226973278270893	"Scaffold_05"	59839895	59855206	"Q09FC8"	"ZN415_HUMAN"	"Zinc finger protein 415"	"GO:0001650; GO:0003677; GO:0005737; GO:0015630; GO:0046872"	"cytoplasm [GO:0005737]; fibrillar center [GO:0001650]; microtubule cytoskeleton [GO:0015630]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]"
"PGEN_.00g348730"	0.00230499527382757	"Scaffold_18"	25673470	25678573	NA	NA	NA	NA	NA
"PGEN_.00g010450"	0.00238855769020458	"Scaffold_01"	27614094	27617495	NA	NA	NA	NA	NA
"PGEN_.00g164740"	0.00244196689154328	"Scaffold_07"	32879160	32939450	"Q86VH2"	"KIF27_HUMAN"	"Kinesin-like protein KIF27"	"GO:0003351; GO:0003777; GO:0005524; GO:0005576; GO:0005737; GO:0005871; GO:0005874; GO:0005929; GO:0007018; GO:0008017; GO:0016887; GO:0021591; GO:0060271"	"cilium [GO:0005929]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; cilium assembly [GO:0060271]; epithelial cilium movement involved in extracellular fluid movement [GO:0003351]; microtubule-based movement [GO:0007018]; ventricular system development [GO:0021591]"
"PGEN_.00g234820"	0.00244952082285605	"Scaffold_11"	30080183	30096763	NA	NA	NA	NA	NA
"PGEN_.00g259270"	0.00245125038389544	"Scaffold_12"	49790592	49794810	"P46825"	"KLC_DORPE"	"Kinesin light chain (KLC)"	"GO:0003777; GO:0005737; GO:0005871; GO:0005874"	"cytoplasm [GO:0005737]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; microtubule motor activity [GO:0003777]"
"PGEN_.00g166930"	0.0024556253209146	"Scaffold_07"	39388645	39503142	"Q6DCC6"	"GTPB6_XENLA"	"Putative GTP-binding protein 6"	"GO:0005525; GO:0046872"	"GTP binding [GO:0005525]; metal ion binding [GO:0046872]"
"PGEN_.00g333150"	0.00246630604403065	"Scaffold_17"	18069850	18105664	"Q01320"	"TOP2A_MOUSE"	"DNA topoisomerase 2-alpha (EC 5.6.2.2) (DNA topoisomerase II, alpha isozyme)"	"GO:0000228; GO:0000287; GO:0000712; GO:0000793; GO:0000819; GO:0002244; GO:0003677; GO:0003682; GO:0003916; GO:0003918; GO:0005080; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005814; GO:0006265; GO:0006266; GO:0006974; GO:0007059; GO:0007143; GO:0008022; GO:0008094; GO:0008144; GO:0008301; GO:0009330; GO:0019035; GO:0019899; GO:0030261; GO:0030263; GO:0032991; GO:0040016; GO:0042752; GO:0042803; GO:0042826; GO:0043065; GO:0043130; GO:0043565; GO:0044774; GO:0045870; GO:0045944; GO:0046982; GO:0048511; GO:0051309; GO:1905463; GO:1990904"	"centriole [GO:0005814]; condensed chromosome [GO:0000793]; cytoplasm [GO:0005737]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [GO:0009330]; nuclear chromosome [GO:0000228]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]; viral integration complex [GO:0019035]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA binding, bending [GO:0008301]; DNA topoisomerase activity [GO:0003916]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; DNA-dependent ATPase activity [GO:0008094]; drug binding [GO:0008144]; enzyme binding [GO:0019899]; histone deacetylase binding [GO:0042826]; magnesium ion binding [GO:0000287]; protein C-terminus binding [GO:0008022]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase C binding [GO:0005080]; sequence-specific DNA binding [GO:0043565]; ubiquitin binding [GO:0043130]; apoptotic chromosome condensation [GO:0030263]; cellular response to DNA damage stimulus [GO:0006974]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; DNA ligation [GO:0006266]; DNA topological change [GO:0006265]; embryonic cleavage [GO:0040016]; female meiosis chromosome separation [GO:0051309]; female meiotic nuclear division [GO:0007143]; hematopoietic progenitor cell differentiation [GO:0002244]; mitotic DNA integrity checkpoint [GO:0044774]; negative regulation of DNA duplex unwinding [GO:1905463]; positive regulation of apoptotic process [GO:0043065]; positive regulation of single stranded viral RNA replication via double stranded DNA intermediate [GO:0045870]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of circadian rhythm [GO:0042752]; resolution of meiotic recombination intermediates [GO:0000712]; rhythmic process [GO:0048511]; sister chromatid segregation [GO:0000819]"
"PGEN_.00g051410"	0.00250146105078869	"Scaffold_02"	50737403	50741672	NA	NA	NA	NA	NA
"PGEN_.00g076930"	0.00251721830353335	"Scaffold_03"	54292802	54310793	"P70057"	"KCNQ1_XENLA"	"Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha xKvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)"	"GO:0005249; GO:0005251; GO:0005516; GO:0005546; GO:0005737; GO:0005783; GO:0005886; GO:0008076; GO:0015271; GO:0016323; GO:0030659; GO:0034702; GO:0034765; GO:0045121; GO:0048839; GO:0050892; GO:0060453; GO:0070293; GO:0086009"	"basolateral plasma membrane [GO:0016323]; cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; endoplasmic reticulum [GO:0005783]; ion channel complex [GO:0034702]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; voltage-gated potassium channel complex [GO:0008076]; calmodulin binding [GO:0005516]; delayed rectifier potassium channel activity [GO:0005251]; outward rectifier potassium channel activity [GO:0015271]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; voltage-gated potassium channel activity [GO:0005249]; inner ear development [GO:0048839]; intestinal absorption [GO:0050892]; membrane repolarization [GO:0086009]; regulation of gastric acid secretion [GO:0060453]; regulation of ion transmembrane transport [GO:0034765]; renal absorption [GO:0070293]"
"PGEN_.00g054290"	0.00254460171848067	"Scaffold_02"	58580204	58593548	"O43808"	"PM34_HUMAN"	"Peroxisomal membrane protein PMP34 (34 kDa peroxisomal membrane protein) (Solute carrier family 25 member 17)"	"GO:0000295; GO:0001561; GO:0005347; GO:0005777; GO:0005778; GO:0005779; GO:0006635; GO:0015217; GO:0015228; GO:0015230; GO:0015867; GO:0015908; GO:0016020; GO:0044610; GO:0051087; GO:0051724; GO:0080122"	"integral component of peroxisomal membrane [GO:0005779]; membrane [GO:0016020]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]; adenine nucleotide transmembrane transporter activity [GO:0000295]; ADP transmembrane transporter activity [GO:0015217]; AMP transmembrane transporter activity [GO:0080122]; ATP transmembrane transporter activity [GO:0005347]; chaperone binding [GO:0051087]; coenzyme A transmembrane transporter activity [GO:0015228]; FAD transmembrane transporter activity [GO:0015230]; FMN transmembrane transporter activity [GO:0044610]; NAD transmembrane transporter activity [GO:0051724]; ATP transport [GO:0015867]; fatty acid alpha-oxidation [GO:0001561]; fatty acid beta-oxidation [GO:0006635]; fatty acid transport [GO:0015908]"
"PGEN_.00g080700"	0.00275723364834035	"Scaffold_04"	5730516	5769291	NA	NA	NA	NA	NA
"PGEN_.00g065280"	0.00284181099143335	"Scaffold_03"	20642211	20684453	"Q8BUG5"	"CAYP2_MOUSE"	"Calcyphosin-2 (Calcyphosine-2)"	"GO:0005509"	"calcium ion binding [GO:0005509]"
"PGEN_.00g164190"	0.00284181099143335	"Scaffold_07"	31498086	31563109	"P97393"	"RHG05_MOUSE"	"Rho GTPase-activating protein 5 (Rho-type GTPase-activating protein 5) (p190-B)"	"GO:0002053; GO:0003924; GO:0005096; GO:0005525; GO:0005783; GO:0005829; GO:0005886; GO:0007165; GO:0008361; GO:0030335; GO:0042169"	"cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; plasma membrane [GO:0005886]; GTP binding [GO:0005525]; GTPase activator activity [GO:0005096]; GTPase activity [GO:0003924]; SH2 domain binding [GO:0042169]; positive regulation of cell migration [GO:0030335]; positive regulation of mesenchymal cell proliferation [GO:0002053]; regulation of cell size [GO:0008361]; signal transduction [GO:0007165]"
"PGEN_.00g330250"	0.00284181099143335	"Scaffold_17"	8705973	8732631	NA	NA	NA	NA	NA
"PGEN_.00g339540"	0.00284181099143335	"Scaffold_18"	1050576	1094845	NA	NA	NA	NA	NA
"PGEN_.00g074750"	0.00287842942149468	"Scaffold_03"	47867910	47868293	NA	NA	NA	NA	NA
"PGEN_.00g276480"	0.00287842942149468	"Scaffold_14"	1279549	1280163	NA	NA	NA	NA	NA
"PGEN_.00g211020"	0.00288872526692802	"Scaffold_10"	18557632	18564854	NA	NA	NA	NA	NA
"PGEN_.00g245080"	0.00295459332445252	"Scaffold_12"	6998775	7025046	"Q6PCR7"	"EIF3A_DANRE"	"Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta)"	"GO:0001732; GO:0002188; GO:0003729; GO:0003743; GO:0005852; GO:0016282; GO:0033290; GO:0043614; GO:0071540; GO:0071541"	"eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; eukaryotic translation initiation factor 3 complex, eIF3e [GO:0071540]; eukaryotic translation initiation factor 3 complex, eIF3m [GO:0071541]; multi-eIF complex [GO:0043614]; mRNA binding [GO:0003729]; translation initiation factor activity [GO:0003743]; formation of cytoplasmic translation initiation complex [GO:0001732]; translation reinitiation [GO:0002188]"
"PGEN_.00g067860"	0.00307190798445435	"Scaffold_03"	27382342	27389374	NA	NA	NA	NA	NA
"PGEN_.00g330320"	0.00308157629298982	"Scaffold_17"	8945788	8999981	"P54288"	"CACB2_RABIT"	"Voltage-dependent L-type calcium channel subunit beta-2 (CAB2) (Calcium channel voltage-dependent subunit beta 2)"	"GO:0007601; GO:0008331; GO:0034765; GO:0051015; GO:0051928; GO:0070509; GO:0086056; GO:0086091; GO:0098684; GO:0098793; GO:0098912; GO:0099635; GO:1990454"	"L-type voltage-gated calcium channel complex [GO:1990454]; photoreceptor ribbon synapse [GO:0098684]; presynapse [GO:0098793]; actin filament binding [GO:0051015]; high voltage-gated calcium channel activity [GO:0008331]; voltage-gated calcium channel activity involved in AV node cell action potential [GO:0086056]; voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels [GO:0099635]; calcium ion import [GO:0070509]; membrane depolarization during atrial cardiac muscle cell action potential [GO:0098912]; positive regulation of calcium ion transport [GO:0051928]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of ion transmembrane transport [GO:0034765]; visual perception [GO:0007601]"
"PGEN_.00g001430"	0.0031338339431054	"Scaffold_01"	3015853	3020987	NA	NA	NA	NA	NA
"PGEN_.00g241500"	0.00321302110603916	"Scaffold_11"	49013433	49014510	NA	NA	NA	NA	NA
"PGEN_.00g053470"	0.00322476461502366	"Scaffold_02"	56181084	56212145	"B9E8C3"	"ALR_MACCJ"	"Alanine racemase (EC 5.1.1.1)"	"GO:0008784; GO:0030170; GO:0030632"	"alanine racemase activity [GO:0008784]; pyridoxal phosphate binding [GO:0030170]; D-alanine biosynthetic process [GO:0030632]"
"PGEN_.00g264700"	0.0032784779082517	"Scaffold_13"	13578879	13639233	"Q9WV18"	"GABR1_MOUSE"	"Gamma-aminobutyric acid type B receptor subunit 1 (GABA-B receptor 1) (GABA-B-R1) (GABA-BR1) (GABABR1) (Gb1)"	"GO:0001649; GO:0004965; GO:0005615; GO:0005737; GO:0005789; GO:0005887; GO:0007193; GO:0007194; GO:0007214; GO:0008021; GO:0008134; GO:0008285; GO:0014048; GO:0014049; GO:0014053; GO:0016020; GO:0030054; GO:0030673; GO:0031966; GO:0032811; GO:0033602; GO:0038037; GO:0038039; GO:0042734; GO:0043005; GO:0043025; GO:0043197; GO:0043198; GO:0043231; GO:0045121; GO:0045211; GO:0046982; GO:0050805; GO:0060124; GO:0097060; GO:0098685; GO:0098793; GO:0098978; GO:0098982; GO:0099055; GO:0099056; GO:0099579; GO:0150099; GO:1902710; GO:1990430"	"axolemma [GO:0030673]; cell junction [GO:0030054]; cytoplasm [GO:0005737]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; endoplasmic reticulum membrane [GO:0005789]; extracellular space [GO:0005615]; G protein-coupled receptor dimeric complex [GO:0038037]; G protein-coupled receptor heterodimeric complex [GO:0038039]; GABA receptor complex [GO:1902710]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; integral component of plasma membrane [GO:0005887]; integral component of postsynaptic membrane [GO:0099055]; integral component of presynaptic membrane [GO:0099056]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; membrane raft [GO:0045121]; mitochondrial membrane [GO:0031966]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; postsynaptic membrane [GO:0045211]; presynapse [GO:0098793]; presynaptic membrane [GO:0042734]; Schaffer collateral - CA1 synapse [GO:0098685]; synaptic membrane [GO:0097060]; synaptic vesicle [GO:0008021]; extracellular matrix protein binding [GO:1990430]; G protein-coupled GABA receptor activity [GO:0004965]; G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential [GO:0099579]; protein heterodimerization activity [GO:0046982]; transcription factor binding [GO:0008134]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; gamma-aminobutyric acid signaling pathway [GO:0007214]; negative regulation of adenylate cyclase activity [GO:0007194]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of dopamine secretion [GO:0033602]; negative regulation of epinephrine secretion [GO:0032811]; negative regulation of gamma-aminobutyric acid secretion [GO:0014053]; negative regulation of synaptic transmission [GO:0050805]; neuron-glial cell signaling [GO:0150099]; osteoblast differentiation [GO:0001649]; positive regulation of glutamate secretion [GO:0014049]; positive regulation of growth hormone secretion [GO:0060124]; regulation of glutamate secretion [GO:0014048]"
"PGEN_.00g145440"	0.0032856092374904	"Scaffold_06"	42086097	42109014	"P49025"	"CTRO_MOUSE"	"Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Rho-interacting, serine/threonine-protein kinase 21)"	"GO:0000070; GO:0000086; GO:0000278; GO:0000281; GO:0001726; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005773; GO:0005829; GO:0005856; GO:0005886; GO:0007030; GO:0007091; GO:0007283; GO:0008064; GO:0015629; GO:0016358; GO:0017124; GO:0018107; GO:0030165; GO:0030496; GO:0030866; GO:0031032; GO:0031985; GO:0032154; GO:0032467; GO:0035556; GO:0043025; GO:0045665; GO:0046872; GO:0048699; GO:0050774; GO:0051402; GO:0097110"	"actin cytoskeleton [GO:0015629]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; Golgi cisterna [GO:0031985]; midbody [GO:0030496]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; vacuole [GO:0005773]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; PDZ domain binding [GO:0030165]; protein serine/threonine kinase activity [GO:0004674]; scaffold protein binding [GO:0097110]; SH3 domain binding [GO:0017124]; actomyosin structure organization [GO:0031032]; cortical actin cytoskeleton organization [GO:0030866]; dendrite development [GO:0016358]; G2/M transition of mitotic cell cycle [GO:0000086]; generation of neurons [GO:0048699]; Golgi organization [GO:0007030]; intracellular signal transduction [GO:0035556]; metaphase/anaphase transition of mitotic cell cycle [GO:0007091]; mitotic cell cycle [GO:0000278]; mitotic cytokinesis [GO:0000281]; mitotic sister chromatid segregation [GO:0000070]; negative regulation of dendrite morphogenesis [GO:0050774]; negative regulation of neuron differentiation [GO:0045665]; neuron apoptotic process [GO:0051402]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of cytokinesis [GO:0032467]; regulation of actin polymerization or depolymerization [GO:0008064]; spermatogenesis [GO:0007283]"
"PGEN_.00g201280"	0.00330592940719674	"Scaffold_09"	30807850	30834566	"Q9JII5"	"DAZP1_MOUSE"	"DAZ-associated protein 1 (Deleted in azoospermia-associated protein 1)"	"GO:0001893; GO:0003723; GO:0003730; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0007283; GO:0008266; GO:0008283; GO:0030154; GO:0034046; GO:0035613; GO:0048026; GO:1990904"	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; mRNA 3'-UTR binding [GO:0003730]; poly(G) binding [GO:0034046]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]; RNA stem-loop binding [GO:0035613]; cell differentiation [GO:0030154]; cell population proliferation [GO:0008283]; maternal placenta development [GO:0001893]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; spermatogenesis [GO:0007283]"
"PGEN_.00g291200"	0.00334490084327571	"Scaffold_14"	34398342	34401549	"P0CC03"	"ST6B1_MOUSE"	"Sulfotransferase 6B1 (ST6B1) (Thyroxine sulfotransferase) (EC 2.8.2.n2)"	"GO:0005737; GO:0008146"	"cytoplasm [GO:0005737]; sulfotransferase activity [GO:0008146]"
"PGEN_.00g052070"	0.00337016530730651	"Scaffold_02"	52941164	53083123	"Q3T8J9"	"GON4L_HUMAN"	"GON-4-like protein (GON-4 homolog)"	"GO:0000981; GO:0003677; GO:0003714; GO:0005634; GO:0005654; GO:0016604; GO:0030183; GO:0045892"	"nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; transcription corepressor activity [GO:0003714]; B cell differentiation [GO:0030183]; negative regulation of transcription, DNA-templated [GO:0045892]"
"PGEN_.00g264320"	0.00338438898350725	"Scaffold_13"	12745295	12745561	NA	NA	NA	NA	NA
"PGEN_.00g246730"	0.00346642874343869	"Scaffold_12"	11373674	11489684	"Q8TDB6"	"DTX3L_HUMAN"	"E3 ubiquitin-protein ligase DTX3L (EC 2.3.2.27) (B-lymphoma- and BAL-associated protein) (Protein deltex-3-like) (RING-type E3 ubiquitin transferase DTX3L) (Rhysin-2) (Rhysin2)"	"GO:0000209; GO:0002230; GO:0004842; GO:0004857; GO:0005634; GO:0005654; GO:0005737; GO:0005764; GO:0005765; GO:0005829; GO:0006302; GO:0006511; GO:0006974; GO:0007219; GO:0008047; GO:0008333; GO:0010390; GO:0015031; GO:0019899; GO:0031901; GO:0032092; GO:0032991; GO:0033522; GO:0033523; GO:0035563; GO:0042393; GO:0044389; GO:0045087; GO:0045893; GO:0046872; GO:0051444; GO:0051607; GO:0051865; GO:0070936; GO:0097677; GO:1900182; GO:1901666; GO:1902966; GO:2000646; GO:2001034"	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome membrane [GO:0031901]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; enzyme activator activity [GO:0008047]; enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; histone binding [GO:0042393]; metal ion binding [GO:0046872]; STAT family protein binding [GO:0097677]; ubiquitin-like protein ligase binding [GO:0044389]; ubiquitin-protein transferase activity [GO:0004842]; cellular response to DNA damage stimulus [GO:0006974]; defense response to virus [GO:0051607]; double-strand break repair [GO:0006302]; endosome to lysosome transport [GO:0008333]; histone H2A ubiquitination [GO:0033522]; histone H2B ubiquitination [GO:0033523]; histone monoubiquitination [GO:0010390]; innate immune response [GO:0045087]; negative regulation of ubiquitin-protein transferase activity [GO:0051444]; Notch signaling pathway [GO:0007219]; positive regulation of chromatin binding [GO:0035563]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of double-strand break repair via nonhomologous end joining [GO:2001034]; positive regulation of NAD+ ADP-ribosyltransferase activity [GO:1901666]; positive regulation of protein binding [GO:0032092]; positive regulation of protein localization to early endosome [GO:1902966]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of receptor catabolic process [GO:2000646]; positive regulation of transcription, DNA-templated [GO:0045893]; protein autoubiquitination [GO:0051865]; protein K48-linked ubiquitination [GO:0070936]; protein polyubiquitination [GO:0000209]; protein transport [GO:0015031]; ubiquitin-dependent protein catabolic process [GO:0006511]"
"PGEN_.00g187350"	0.00352382758787537	"Scaffold_08"	51601099	51626682	"Q9ET80"	"JPH1_MOUSE"	"Junctophilin-1 (JP-1) (Junctophilin type 1)"	"GO:0005623; GO:0005654; GO:0005783; GO:0005789; GO:0005886; GO:0007517; GO:0008307; GO:0014701; GO:0015278; GO:0016021; GO:0016529; GO:0030018; GO:0030314"	"cell [GO:0005623]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; junctional membrane complex [GO:0030314]; junctional sarcoplasmic reticulum membrane [GO:0014701]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; sarcoplasmic reticulum [GO:0016529]; Z disc [GO:0030018]; calcium-release channel activity [GO:0015278]; structural constituent of muscle [GO:0008307]; muscle organ development [GO:0007517]"
"PGEN_.00g208160"	0.00352938612175101	"Scaffold_10"	10656955	10661202	NA	NA	NA	NA	NA
"PGEN_.00g206850"	0.0035959680924064	"Scaffold_10"	7864436	7866522	NA	NA	NA	NA	NA
"PGEN_.00g296310"	0.0035959680924064	"Scaffold_14"	44456985	44458619	"O60290"	"ZN862_HUMAN"	"Zinc finger protein 862"	"GO:0003676; GO:0005634; GO:0006355; GO:0046872; GO:0046983"	"nucleus [GO:0005634]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; protein dimerization activity [GO:0046983]; regulation of transcription, DNA-templated [GO:0006355]"
