Entry,Entry name,Protein names,Gene names,Organism,Gene ontology IDs
O43242,PSMD3_HUMAN,26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58),PSMD3,Homo sapiens (Human),GO:0000165; GO:0000209; GO:0000502; GO:0002223; GO:0002479; GO:0005576; GO:0005634; GO:0005654; GO:0005829; GO:0006511; GO:0006521; GO:0008541; GO:0010972; GO:0016020; GO:0016579; GO:0022624; GO:0030234; GO:0031145; GO:0031146; GO:0033209; GO:0034774; GO:0038061; GO:0038095; GO:0042176; GO:0043161; GO:0043312; GO:0043488; GO:0043687; GO:0050852; GO:0055085; GO:0060071; GO:0061418; GO:0070062; GO:0070498; GO:0090090; GO:0090263; GO:1901990; GO:1902036; GO:1904813
Q59E55,NAB_DROME,NGFI-A-binding protein homolog (dNAB),nab CG33545,Drosophila melanogaster (Fruit fly),GO:0003712; GO:0005634; GO:0006355; GO:0007626; GO:0008283; GO:0014019; GO:0035222; GO:0045892; GO:0048666
Q6NSM8,SIK3_DANRE,Serine/threonine-protein kinase SIK3 homolog (EC 2.7.11.1) (Serine/threonine-protein kinase QSK homolog),zgc:66101,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0000226; GO:0000287; GO:0004674; GO:0005524; GO:0005737; GO:0006468; GO:0035556; GO:0050321
P07314,GGT1_RAT,Glutathione hydrolase 1 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (GGT 1) (EC 2.3.2.2) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Glutathione hydrolase 1 heavy chain; Glutathione hydrolase 1 light chain],Ggt1 Ggt,Rattus norvegicus (Rat),GO:0000048; GO:0002682; GO:0002951; GO:0005615; GO:0005886; GO:0005887; GO:0006508; GO:0006520; GO:0006536; GO:0006631; GO:0006750; GO:0006751; GO:0007283; GO:0007568; GO:0016755; GO:0019344; GO:0031179; GO:0031638; GO:0031982; GO:0032355; GO:0032496; GO:0034599; GO:0034612; GO:0036374; GO:0050727; GO:0061017; GO:0070365; GO:0097305; GO:0097421; GO:0102953; GO:0103068; GO:1901750
Q96H40,ZN486_HUMAN,Zinc finger protein 486 (KRAB domain only protein 2),ZNF486 KRBO2,Homo sapiens (Human),GO:0003677; GO:0005634; GO:0006355; GO:0046872; GO:0070062
B0UZC8,VWC2L_DANRE,von Willebrand factor C domain-containing protein 2-like,vwc2l si:ch211-207d8.1,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0005615; GO:0007399; GO:0030054; GO:0030514; GO:0032281; GO:0045202
Q9H0J4,QRIC2_HUMAN,Glutamine-rich protein 2,QRICH2,Homo sapiens (Human),GO:0005737; GO:0030031; GO:0030317; GO:0031965; GO:0036126; GO:2000059
Q9HCK4,ROBO2_HUMAN,Roundabout homolog 2,ROBO2 KIAA1568,Homo sapiens (Human),GO:0001656; GO:0001657; GO:0003148; GO:0003180; GO:0003184; GO:0003272; GO:0005886; GO:0007156; GO:0007411; GO:0007417; GO:0007420; GO:0008046; GO:0009986; GO:0016021; GO:0016199; GO:0021510; GO:0021891; GO:0030673; GO:0031290; GO:0032870; GO:0035481; GO:0035904; GO:0042802; GO:0050772; GO:0050925; GO:0051964; GO:0060412; GO:0061364; GO:0070062
Q8VIG3,RSPH1_MOUSE,Radial spoke head 1 homolog (Male meiotic metaphase chromosome-associated acidic protein) (Meichroacidin) (Testis-specific gene A2 protein),Rsph1 Tsga2,Mus musculus (Mouse),GO:0000794; GO:0001520; GO:0005737; GO:0007286; GO:0031514; GO:0035082; GO:0036126; GO:0051321; GO:0072687
Q5PRB3,PIHD2_DANRE,PIH1 domain-containing protein 2,pih1d2 zgc:101725,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0000492; GO:0005737; GO:0006364; GO:0070286; GO:0097255
Q24407,ATP5J_DROME,"ATP synthase-coupling factor 6, mitochondrial (ATPase subunit F6)",ATPsynCF6 CG4412,Drosophila melanogaster (Fruit fly),GO:0000276; GO:0005739; GO:0005753; GO:0005756; GO:0015078; GO:0015986; GO:1902600
Q91VN0,LRP5_MOUSE,Low-density lipoprotein receptor-related protein 5 (LRP-5) (Low-density lipoprotein receptor-related protein 7) (LRP-7),Lrp5 Lr3 Lrp7,Mus musculus (Mouse),GO:0001702; GO:0001944; GO:0002053; GO:0002076; GO:0005739; GO:0005783; GO:0005886; GO:0006007; GO:0006897; GO:0008203; GO:0008217; GO:0008284; GO:0009314; GO:0009952; GO:0016021; GO:0017147; GO:0033690; GO:0035019; GO:0035108; GO:0035426; GO:0042074; GO:0042632; GO:0042733; GO:0042813; GO:0042981; GO:0043235; GO:0043434; GO:0045600; GO:0045668; GO:0045669; GO:0045840; GO:0045893; GO:0045944; GO:0046849; GO:0048539; GO:0051091; GO:0060033; GO:0060042; GO:0060070; GO:0060348; GO:0060349; GO:0060444; GO:0060603; GO:0060612; GO:0060764; GO:0061178; GO:0061299; GO:0061304; GO:0071901; GO:0071936; GO:0110135; GO:1902262
Q01433,AMPD2_HUMAN,AMP deaminase 2 (EC 3.5.4.6) (AMP deaminase isoform L),AMPD2,Homo sapiens (Human),GO:0003876; GO:0005829; GO:0006188; GO:0032264; GO:0043101; GO:0046033; GO:0046872; GO:0052652; GO:0097009
P56671,MAZ_MOUSE,Myc-associated zinc finger protein (MAZI) (Pur-1) (Purine-binding transcription factor),Maz,Mus musculus (Mouse),GO:0000978; GO:0000981; GO:0003682; GO:0005634; GO:0005737; GO:0006367; GO:0006369; GO:0008284; GO:0010628; GO:0014068; GO:0030335; GO:0045893; GO:0045944; GO:0046872; GO:0051897; GO:2001234
Q9UBP9,GULP1_HUMAN,PTB domain-containing engulfment adapter protein 1 (Cell death protein 6 homolog) (PTB domain adapter protein CED-6) (Protein GULP),GULP1 CED6 GULP,Homo sapiens (Human),GO:0005737; GO:0006869; GO:0006911; GO:0006915
Q0V8K7,3BP5L_BOVIN,SH3 domain-binding protein 5-like (SH3BP-5-like),SH3BP5L,Bos taurus (Bovine),GO:0004860; GO:0005737; GO:0017112; GO:0035556; GO:0061099
Q9H2F5,EPC1_HUMAN,Enhancer of polycomb homolog 1,EPC1,Homo sapiens (Human),GO:0000122; GO:0005634; GO:0005654; GO:0006351; GO:0006357; GO:0016604; GO:0031965; GO:0032777; GO:0035267; GO:0035886; GO:0040008; GO:0043967; GO:0043968; GO:0045814; GO:0045892; GO:0045893; GO:0045944; GO:0070317
O75884,RBBP9_HUMAN,Serine hydrolase RBBP9 (EC 3.-.-.-) (B5T-overexpressed gene protein) (Protein BOG) (Retinoblastoma-binding protein 10) (RBBP-10) (Retinoblastoma-binding protein 9) (RBBP-9),RBBP9 BOG RBBP10,Homo sapiens (Human),GO:0005654; GO:0016787; GO:0042127
Q5T2R2,DPS1_HUMAN,Decaprenyl-diphosphate synthase subunit 1 (EC 2.5.1.91) (All-trans-decaprenyl-diphosphate synthase subunit 1) (Decaprenyl pyrophosphate synthase subunit 1) (Trans-prenyltransferase 1) (TPT 1),PDSS1 DPS1 TPRT,Homo sapiens (Human),GO:0000010; GO:0005759; GO:0006744; GO:0008299; GO:0046872; GO:0046982; GO:0050347; GO:1990234
Q8R151,ZNFX1_MOUSE,NFX1-type zinc finger-containing protein 1,Znfx1,Mus musculus (Mouse),GO:0000775; GO:0003700; GO:0003723; GO:0005634; GO:0008270; GO:0030702; GO:0031048; GO:0031380
Q9P2E3,ZNFX1_HUMAN,NFX1-type zinc finger-containing protein 1,ZNFX1 KIAA1404,Homo sapiens (Human),GO:0000775; GO:0000790; GO:0000981; GO:0003723; GO:0005634; GO:0008270; GO:0030702; GO:0031048; GO:0031380
P48810,RB87F_DROME,Heterogeneous nuclear ribonucleoprotein 87F (HRP36.1 protein) (Protein P11),Hrb87F hrp36 CG12749,Drosophila melanogaster (Fruit fly),GO:0000278; GO:0000381; GO:0000785; GO:0000792; GO:0001745; GO:0003723; GO:0003729; GO:0003730; GO:0005634; GO:0005654; GO:0005703; GO:0005737; GO:0007283; GO:0008266; GO:0008585; GO:0009408; GO:0034046; GO:0035062; GO:0042594; GO:0043565; GO:0048026; GO:1990904
Q9JIF5,PECR_CAVPO,Peroxisomal trans-2-enoyl-CoA reductase (EC 1.3.1.38),PECR,Cavia porcellus (Guinea pig),GO:0005102; GO:0005739; GO:0005778; GO:0006633; GO:0019166; GO:0033306; GO:0043231
Q8VEE0,RPE_MOUSE,Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Ribulose-5-phosphate-epimerase),Rpe,Mus musculus (Mouse),GO:0004750; GO:0005829; GO:0005975; GO:0006098; GO:0009052; GO:0019323; GO:0030246; GO:0042802; GO:0042803; GO:0043231; GO:0044262; GO:0046872; GO:0048029
Q9BQA5,HINFP_HUMAN,Histone H4 transcription factor (Histone nuclear factor P) (HiNF-P) (MBD2-interacting zinc finger protein) (Methyl-CpG-binding protein 2-interacting zinc finger protein),HINFP MIZF ZNF743,Homo sapiens (Human),GO:0000077; GO:0000082; GO:0000083; GO:0000978; GO:0001227; GO:0001701; GO:0003677; GO:0003682; GO:0003700; GO:0003713; GO:0005634; GO:0005654; GO:0006281; GO:0006351; GO:0006355; GO:0010468; GO:0010628; GO:0010629; GO:0015030; GO:0019899; GO:0042393; GO:0044212; GO:0045184; GO:0045445; GO:0045892; GO:0045893; GO:0046872
P51658,DHB2_MOUSE,Estradiol 17-beta-dehydrogenase 2 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase type 2) (17-beta-HSD 2) (Testosterone 17-beta-dehydrogenase) (EC 1.1.1.239),Hsd17b2 Edh17b2,Mus musculus (Mouse),GO:0001701; GO:0001890; GO:0004303; GO:0006702; GO:0006703; GO:0016021; GO:0032526; GO:0043231; GO:0047035
Q2TBP2,HINFP_BOVIN,Histone H4 transcription factor (Histone nuclear factor P) (HiNF-P) (MBD2-interacting zinc finger protein) (Methyl-CpG-binding protein 2-interacting zinc finger protein),HINFP MIZF,Bos taurus (Bovine),GO:0003677; GO:0005634; GO:0046872
O76083,PDE9A_HUMAN,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A (EC 3.1.4.35)",PDE9A,Homo sapiens (Human),GO:0004114; GO:0005783; GO:0005794; GO:0005829; GO:0007165; GO:0010613; GO:0019934; GO:0032587; GO:0042383; GO:0042802; GO:0043204; GO:0046068; GO:0046069; GO:0046872; GO:0047555; GO:0048471
Q8QZV1,PDE9A_RAT,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A (EC 3.1.4.35)",Pde9a,Rattus norvegicus (Rat),GO:0005783; GO:0005794; GO:0010613; GO:0019934; GO:0032587; GO:0042383; GO:0042802; GO:0043204; GO:0046068; GO:0046069; GO:0046872; GO:0047555; GO:0048471
P29774,ETS3_DROME,DNA-binding protein D-ETS-3,Ets65A ETS3 CG7018,Drosophila melanogaster (Fruit fly),GO:0000981; GO:0005634; GO:0006355; GO:0006357; GO:0030154; GO:0043565
Q3TUF7,YETS2_MOUSE,YEATS domain-containing protein 2,Yeats2 Kiaa1197,Mus musculus (Mouse),GO:0000122; GO:0005634; GO:0005671; GO:0017025; GO:0042393; GO:0043966; GO:0045892; GO:0072686; GO:0140030
Q13705,AVR2B_HUMAN,Activin receptor type-2B (EC 2.7.11.30) (Activin receptor type IIB) (ACTR-IIB),ACVR2B,Homo sapiens (Human),GO:0000122; GO:0001702; GO:0001822; GO:0001946; GO:0001974; GO:0004674; GO:0004712; GO:0005524; GO:0005737; GO:0005886; GO:0005887; GO:0006355; GO:0006468; GO:0007165; GO:0007178; GO:0007368; GO:0007498; GO:0007507; GO:0009749; GO:0009791; GO:0009952; GO:0017002; GO:0019838; GO:0030073; GO:0030324; GO:0030501; GO:0030509; GO:0031016; GO:0032147; GO:0032924; GO:0032927; GO:0032991; GO:0035265; GO:0042475; GO:0043235; GO:0045669; GO:0046872; GO:0048179; GO:0048185; GO:0048617; GO:0048705; GO:0060021; GO:0060836; GO:0060840; GO:0060841; GO:0061298; GO:0071363; GO:0120163
Q9JHA8,VWA7_MOUSE,von Willebrand factor A domain-containing protein 7 (Protein G7c),Vwa7 D17h6s56e-3 G7c,Mus musculus (Mouse),GO:0005576
Q8ISN9,RS25_BRABE,40S ribosomal protein S25,RPS25,Branchiostoma belcheri (Amphioxus),GO:0005840
Q08DE5,EI24_BOVIN,Etoposide-induced protein 2.4 homolog,EI24,Bos taurus (Bovine),GO:0005783; GO:0016021; GO:0016236
Q15853,USF2_HUMAN,Upstream stimulatory factor 2 (Class B basic helix-loop-helix protein 12) (bHLHb12) (FOS-interacting protein) (FIP) (Major late transcription factor 2) (Upstream transcription factor 2),USF2 BHLHB12,Homo sapiens (Human),GO:0000430; GO:0000432; GO:0000790; GO:0000981; GO:0003700; GO:0005634; GO:0005654; GO:0006366; GO:0007595; GO:0019086; GO:0042803; GO:0043231; GO:0043425; GO:0043565; GO:0045944; GO:0046982; GO:0055088
O93479,ORC4_XENLA,Origin recognition complex subunit 4,orc4 orc4l,Xenopus laevis (African clawed frog),GO:0003677; GO:0005524; GO:0005664; GO:0006260
Q27556,GPDA_DROAE,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic (GPD-C) (GPDH-C) (EC 1.1.1.8)",Gpdh,Drosophila americana (Fruit fly),GO:0004367; GO:0005975; GO:0006650; GO:0009331; GO:0042803; GO:0046168; GO:0051287
Q0IIF6,FAIM1_BOVIN,Fas apoptotic inhibitory molecule 1,FAIM,Bos taurus (Bovine),GO:0005737; GO:0006915; GO:0007249; GO:0050769; GO:1902042
Q6DJ83,CADM2_XENTR,Cell adhesion molecule 2 (Immunoglobulin superfamily member 4D) (IgSF4D),cadm2 igsf4d,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),GO:0016021
Q8IZU9,KIRR3_HUMAN,Kin of IRRE-like protein 3 (Kin of irregular chiasm-like protein 3) (Nephrin-like protein 2) [Cleaved into: Processed kin of IRRE-like protein 3],KIRREL3 KIAA1867 NEPH2 UNQ5923/PRO4502/PRO19814,Homo sapiens (Human),GO:0001764; GO:0002121; GO:0005576; GO:0005886; GO:0007156; GO:0007416; GO:0016021; GO:0021740; GO:0021766; GO:0030097; GO:0030424; GO:0030425; GO:0043198; GO:0048812; GO:0072102
Q8BLK3,LSAMP_MOUSE,Limbic system-associated membrane protein (LSAMP),Lsamp,Mus musculus (Mouse),GO:0005829; GO:0005886; GO:0007155; GO:0031225; GO:0035641
Q58EG3,NECT3_DANRE,Nectin-3-like protein (Nectin cell adhesion molecule 3) (Poliovirus receptor-related protein 3-like),nectin3 pvrl3l si:dkey-62a13.5 zgc:113035,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0005886; GO:0005913; GO:0007156; GO:0007157; GO:0007286; GO:0016021; GO:0038023; GO:0042803; GO:0050839
Q80ZE3,SIG10_MOUSE,Sialic acid-binding Ig-like lectin 10 (Siglec-10) (Sialic acid-binding Ig-like lectin G) (Siglec-G) (mSiglec-G),Siglec10 Siglecg,Mus musculus (Mouse),GO:0002244; GO:0002250; GO:0005886; GO:0007155; GO:0016021; GO:0019902; GO:0030246; GO:0030888; GO:0042169; GO:0045087; GO:0050776; GO:0050849; GO:0051025; GO:0106015
A2AJ76,HMCN2_MOUSE,Hemicentin-2,Hmcn2,Mus musculus (Mouse),GO:0005509; GO:0005576; GO:0005604; GO:0005615; GO:0005938; GO:0030054; GO:0031012; GO:0032154; GO:0050896; GO:0062023
Q05793,PGBM_MOUSE,Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) [Cleaved into: Endorepellin; LG3 peptide],Hspg2,Mus musculus (Mouse),GO:0001525; GO:0001958; GO:0002020; GO:0002062; GO:0005509; GO:0005576; GO:0005604; GO:0005615; GO:0005796; GO:0006898; GO:0007420; GO:0008022; GO:0008104; GO:0009887; GO:0009888; GO:0030198; GO:0031012; GO:0048704; GO:0048738; GO:0060351; GO:0060548; GO:0062023; GO:1905907
Q8BUZ3,TIGD4_MOUSE,Tigger transposable element-derived protein 4,Tigd4,Mus musculus (Mouse),GO:0003677; GO:0005634
Q86WZ6,ZN227_HUMAN,Zinc finger protein 227,ZNF227,Homo sapiens (Human),GO:0003677; GO:0005634; GO:0006355; GO:0046872
O15394,NCAM2_HUMAN,Neural cell adhesion molecule 2 (N-CAM-2) (NCAM-2),NCAM2 NCAM21,Homo sapiens (Human),GO:0005886; GO:0007158; GO:0007413; GO:0007608; GO:0016021; GO:0016604; GO:0030424; GO:0042802
Q9NXL6,SIDT1_HUMAN,SID1 transmembrane family member 1,SIDT1,Homo sapiens (Human),GO:0003725; GO:0005764; GO:0005886; GO:0016021; GO:0033227; GO:0050658; GO:0051033
Q6H236,PEG3_BOVIN,Paternally-expressed gene 3 protein,PEG3,Bos taurus (Bovine),GO:0003676; GO:0003700; GO:0005634; GO:0005737; GO:0006915; GO:0046872
Q3SYZ6,XYLB_BOVIN,Xylulose kinase (Xylulokinase) (EC 2.7.1.17),XYLB,Bos taurus (Bovine),GO:0004856; GO:0005524; GO:0005829; GO:0005997; GO:0016310; GO:0042732
Q9D8U7,DTWD1_MOUSE,DTW domain-containing protein 1,Dtwd1,Mus musculus (Mouse),
Q8NB50,ZFP62_HUMAN,Zinc finger protein 62 homolog (Zfp-62),ZFP62,Homo sapiens (Human),GO:0003677; GO:0005634; GO:0046872
Q9Y426,C2CD2_HUMAN,C2 domain-containing protein 2 (Transmembrane protein 24-like),C2CD2 C21orf25 C21orf258 TMEM24L,Homo sapiens (Human),GO:0005634; GO:0005829; GO:0016021
Q7YRZ8,MDM2_FELCA,E3 ubiquitin-protein ligase Mdm2 (EC 2.3.2.27) (Double minute 2 protein) (RING-type E3 ubiquitin transferase Mdm2) (p53-binding protein Mdm2),MDM2,Felis catus (Cat) (Felis silvestris catus),GO:0000122; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0008097; GO:0016567; GO:0016740; GO:0043021; GO:0043066; GO:0043130; GO:0045892; GO:0046872; GO:0071157
P22232,FBRL_XENLA,rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (Histone-glutamine methyltransferase),fbl,Xenopus laevis (African clawed frog),GO:0003723; GO:0005730; GO:0006364; GO:1990258; GO:1990259
Q5RDA4,LG3BP_PONAB,Galectin-3-binding protein (Lectin galactoside-binding soluble 3-binding protein),LGALS3BP,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),GO:0005044; GO:0005576; GO:0007155; GO:0016020
Q09FC8,ZN415_HUMAN,Zinc finger protein 415,ZNF415,Homo sapiens (Human),GO:0001650; GO:0003677; GO:0005737; GO:0015630; GO:0046872
Q2VUH7,DIXC1_RAT,Dixin (Coiled-coil protein DIX1) (Coiled-coil-DIX1) (DIX domain-containing protein 1),Dixdc1 Ccd1,Rattus norvegicus (Rat),GO:0003779; GO:0005737; GO:0005829; GO:0005856; GO:0005925; GO:0019904; GO:0021695; GO:0021795; GO:0021799; GO:0021846; GO:0021869; GO:0030177; GO:0031435; GO:0032956; GO:0032991; GO:0043015; GO:0043025; GO:0043679; GO:0045665; GO:0046330; GO:0050772; GO:0060070; GO:0070507
D0G895,ACE3_MOUSE,Angiotensin-converting enzyme-like protein Ace3,Ace3,Mus musculus (Mouse),GO:0001669; GO:0002080; GO:0003081; GO:0003084; GO:0005615; GO:0005886; GO:0008237; GO:0008238; GO:0008239; GO:0008241; GO:0016021; GO:0045777
Q9U639,HSP7D_MANSE,Heat shock 70 kDa protein cognate 4 (Hsc 70-4),,Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm),GO:0005524; GO:0005634
A7MBS7,THS7A_DANRE,Thrombospondin type-1 domain-containing protein 7A,thsd7aa thsd7a si:dkey-12h3.1,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0001525; GO:0002040; GO:0003094; GO:0005886; GO:0008593; GO:0016021; GO:0031532; GO:0032835; GO:0042995; GO:0043534; GO:0048675; GO:0072015
Q69ZU6,THS7A_MOUSE,"Thrombospondin type-1 domain-containing protein 7A [Cleaved into: Thrombospondin type-1 domain-containing protein 7A, soluble form]",Thsd7a Gm837 Kiaa0960,Mus musculus (Mouse),GO:0001525; GO:0005576; GO:0005886; GO:0016021; GO:0030154; GO:0031532; GO:0098846
Q6P4U0,THS7B_MOUSE,Thrombospondin type-1 domain-containing protein 7B,Thsd7b,Mus musculus (Mouse),GO:0005886; GO:0016021; GO:0031532
O73930,PHS_CHICK,Pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Dimerization cofactor of hepatocyte nuclear factor 1-alpha) (DCoH) (Dimerization cofactor of HNF1) (cDcoH) (Phenylalanine hydroxylase-stimulating protein) (Pterin carbinolamine dehydratase) (PCD),PCBD1 DCOH PCBD,Gallus gallus (Chicken),GO:0005634; GO:0005737; GO:0006729; GO:0008124
Q9BZE4,NOG1_HUMAN,Nucleolar GTP-binding protein 1 (Chronic renal failure gene protein) (GTP-binding protein NGB),GTPBP4 CRFG NOG1,Homo sapiens (Human),GO:0000079; GO:0000463; GO:0001649; GO:0003723; GO:0003924; GO:0005525; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0008156; GO:0008285; GO:0016020; GO:0022408; GO:0030336; GO:0031397; GO:0031965; GO:0033342; GO:0048471; GO:0050821
Q71RG4,TMUB2_HUMAN,Transmembrane and ubiquitin-like domain-containing protein 2,TMUB2 FP2653 UNQ1897/PRO4343,Homo sapiens (Human),GO:0016021; GO:0030433
Q32L53,LFG1_BOVIN,Protein lifeguard 1 (Glutamate [NMDA] receptor-associated protein 1) (NMDA receptor glutamate-binding subunit),GRINA LFG1 NMDARA1,Bos taurus (Bovine),GO:0005783; GO:0005794; GO:0016021; GO:0032469; GO:0044325; GO:1902236
O88822,SC5D_MOUSE,Lathosterol oxidase (EC 1.14.19.20) (C-5 sterol desaturase) (Delta(7)-sterol 5-desaturase) (Delta(7)-sterol C5(6)-desaturase) (Lathosterol 5-desaturase) (Sterol-C5-desaturase),Sc5d Sc5dl,Mus musculus (Mouse),GO:0000248; GO:0005506; GO:0005789; GO:0016021; GO:0016126; GO:0033490; GO:0043231
Q63312,PHLB1_RAT,Pleckstrin homology-like domain family B member 1 (Protein LL5-alpha) (Fragment),Phldb1 Ll5,Rattus norvegicus (Rat),GO:0010470; GO:0010717; GO:0045180; GO:0070507; GO:1904261
Q86UU1,PHLB1_HUMAN,Pleckstrin homology-like domain family B member 1 (Protein LL5-alpha),PHLDB1 KIAA0638 LL5A DLNB07,Homo sapiens (Human),GO:0010470; GO:0010717; GO:0045180; GO:0070507; GO:1904261
Q5E9T4,TPK1_BOVIN,Thiamin pyrophosphokinase 1 (EC 2.7.6.2) (Thiamine pyrophosphokinase 1),TPK1,Bos taurus (Bovine),GO:0004788; GO:0005524; GO:0006772; GO:0009229; GO:0016301; GO:0030975
Q80TI0,ASTRB_MOUSE,Protein Aster-B (GRAM domain-containing protein 1B),Gramd1b Kiaa1201,Mus musculus (Mouse),GO:0001786; GO:0005789; GO:0005886; GO:0015485; GO:0016021; GO:0042632; GO:0070300; GO:0071397; GO:0120020; GO:0140268
Q9NQC8,IFT46_HUMAN,Intraflagellar transport protein 46 homolog,IFT46 C11orf2 C11orf60,Homo sapiens (Human),GO:0005737; GO:0005813; GO:0005929; GO:0007224; GO:0008022; GO:0030992; GO:0031514; GO:0035735; GO:0042073; GO:0050821; GO:0060271; GO:0097542
Q92542,NICA_HUMAN,Nicastrin,NCSTN KIAA0253 UNQ1874/PRO4317,Homo sapiens (Human),GO:0002262; GO:0004175; GO:0005739; GO:0005765; GO:0005769; GO:0005783; GO:0005794; GO:0005886; GO:0005887; GO:0005925; GO:0006508; GO:0006509; GO:0007212; GO:0007215; GO:0007220; GO:0007611; GO:0008021; GO:0010008; GO:0016020; GO:0016021; GO:0016485; GO:0021549; GO:0022010; GO:0030534; GO:0031293; GO:0034205; GO:0035333; GO:0035577; GO:0042098; GO:0042383; GO:0042470; GO:0042982; GO:0042983; GO:0042986; GO:0042987; GO:0043065; GO:0043085; GO:0043312; GO:0044267; GO:0048013; GO:0050673; GO:0051402; GO:0070062; GO:0070765; GO:0071277; GO:0099056; GO:1900271; GO:1990926
Q9HAB8,PPCS_HUMAN,Phosphopantothenate--cysteine ligase (EC 6.3.2.51) (Phosphopantothenoylcysteine synthetase) (PPC synthetase),PPCS COAB,Homo sapiens (Human),GO:0003015; GO:0004632; GO:0005524; GO:0005829; GO:0006085; GO:0009108; GO:0015937; GO:0042803
A2VDC2,HIBCH_XENLA,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial (EC 3.1.2.4) (3-hydroxyisobutyryl-coenzyme A hydrolase) (HIB-CoA hydrolase) (HIBYL-CoA-H)",hibch,Xenopus laevis (African clawed frog),GO:0003860; GO:0005739; GO:0006574
Q5ZJ60,HIBCH_CHICK,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial (EC 3.1.2.4) (3-hydroxyisobutyryl-coenzyme A hydrolase) (HIB-CoA hydrolase) (HIBYL-CoA-H)",HIBCH RCJMB04_20j11,Gallus gallus (Chicken),GO:0003860; GO:0005739; GO:0006574
Q4TU93,MRC2_RAT,C-type mannose receptor 2 (Endocytic receptor 180) (Macrophage mannose receptor 2) (CD antigen CD280),Mrc2 Endo180,Rattus norvegicus (Rat),GO:0004888; GO:0005518; GO:0005886; GO:0006897; GO:0016021; GO:0030246; GO:0030574
O60563,CCNT1_HUMAN,Cyclin-T1 (CycT1) (Cyclin-T),CCNT1,Homo sapiens (Human),GO:0000079; GO:0003677; GO:0003682; GO:0005634; GO:0005654; GO:0006357; GO:0006366; GO:0006368; GO:0006468; GO:0007049; GO:0008024; GO:0008134; GO:0016032; GO:0016538; GO:0019901; GO:0032786; GO:0042795; GO:0043923; GO:0044212; GO:0045944; GO:0050434; GO:0051301; GO:0061575; GO:0070063; GO:0097322; GO:1900364
Q2NL14,KANL2_BOVIN,KAT8 regulatory NSL complex subunit 2 (NSL complex protein NSL2) (Non-specific lethal 2 homolog),KANSL2 NSL2,Bos taurus (Bovine),GO:0000123; GO:0005829; GO:0005886; GO:0015629; GO:0043981; GO:0043982; GO:0043984; GO:0043995; GO:0043996; GO:0044545; GO:0046972
A5HNF6,MYD88_CHICK,Myeloid differentiation primary response protein MyD88,MYD88 RCJMB04_14h3,Gallus gallus (Chicken),GO:0002224; GO:0002238; GO:0002755; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006909; GO:0006954; GO:0008063; GO:0009615; GO:0009682; GO:0010628; GO:0016064; GO:0031663; GO:0032494; GO:0032740; GO:0032747; GO:0032755; GO:0032760; GO:0035325; GO:0043123; GO:0045080; GO:0045087; GO:0045351; GO:0046330; GO:0050671; GO:0050830; GO:0051092; GO:0070976; GO:0090557; GO:0140052; GO:1900017; GO:1901224; GO:1902622; GO:2000338; GO:2000341
Q9BQS8,FYCO1_HUMAN,FYVE and coiled-coil domain-containing protein 1 (Zinc finger FYVE domain-containing protein 7),FYCO1 ZFYVE7,Homo sapiens (Human),GO:0005623; GO:0005764; GO:0005770; GO:0005776; GO:0005794; GO:0016020; GO:0043231; GO:0046872; GO:0072383; GO:1901098
Q9Z1L4,XLRS1_MOUSE,Retinoschisin (X-linked juvenile retinoschisis protein homolog),Rs1 Rs1h Xlrs1,Mus musculus (Mouse),GO:0001786; GO:0001917; GO:0005546; GO:0005547; GO:0005576; GO:0005615; GO:0007155; GO:0007601; GO:0010314; GO:0010842; GO:0016062; GO:0019897; GO:0032266; GO:0043325; GO:0051260; GO:0070273; GO:0080025; GO:0098984
